2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 86: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 87: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 88: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 89: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 90: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 91: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 92: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 93: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 94: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 95: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 96: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 97: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 98: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 99: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 100: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 101: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 102: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 103: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 104: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 105: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 106: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 107: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 108: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 109: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 110: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 111: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 112: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 113: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 114: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 115: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 116: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 117: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 118: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 119: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 120: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 121: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 122: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 123: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 124: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 125: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 126: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 127: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 128: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 129: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 130: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 131: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 132: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 133: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 134: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 135: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 136: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 137: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 138: 47 chars
